1	46.000000
2	170.197998
3	357.411011
4	686.064026
5	1124.587036
6	1807.537964
7	2660.340088
8	3752.687988
9	5051.599121
10	6486.967773
11	8164.911133
12	10067.795898
13	12476.931641
14	14648.086914
15	17458.699219
16	20759.851562
17	24118.728516
18	27881.781250
19	32286.441406
20	36876.546875
21	42009.550781
22	47446.085938
23	54076.867188
24	60429.085938
25	67765.054688
26	75783.867188
27	83763.859375
28	92514.765625
29	102258.304688
30	111944.937500
31	122335.171875
32	134935.250000
33	146655.031250
34	159126.343750
35	171808.687500
